ID, ideology, leadership, name, party, description, introduced_bills_113, cosponsored_bills_113, unique_cosponsors_113, total_cosponsors_113
400093, 0.219483789673, 0.516418782242, Davis [IL7], Democrat, far-left Democrat, 6, 206, 77, 99
400103, 0.217397030076, 0.807821849904, DeLauro, Democrat, far-left Democratic leader, 22, 221, 229, 1091
412215, 0.0986853101405, 0.467804078158, Ellison, Democrat, far-left Democrat, 21, 483, 91, 216
400121, 0.580934745252, 0.545220145794, Emerson, Republican, centrist Republican, 5, 0, 6, 6
400128, 0.361149881127, 0.362761549754, Faleomavaega, Democrat, rank-and-file Democrat, 5, 91, 34, 38
412257, 0.433380855468, 0.393813699935, Foster, Democrat, rank-and-file Democrat, 8, 139, 110, 162
412276, 0.315676529965, 0.580900707313, Grayson, Democrat, rank-and-file Democrat, 70, 178, 22, 25
400170, 0.198984075318, 0.734272759027, Hastings [FL20], Democrat, far-left Democratic leader, 17, 440, 127, 201
400179, 0.33752282172, 0.419744064955, Hinojosa, Democrat, rank-and-file Democrat, 10, 233, 56, 85
400199, 0.188174220155, 0.615781842464, Jackson Lee, Democrat, far-left Democrat, 40, 368, 115, 245
400211, 0.311907464865, 0.489113401876, Kaptur, Democrat, rank-and-file Democrat, 24, 193, 98, 121
400238, 0.314006724339, 0.684846646366, Levin, Democrat, moderate Democratic leader, 4, 166, 197, 277
400630, 0.477580240951, 0.5644172336, Lipinski, Democrat, centrist Democrat, 14, 228, 115, 177
412209, 0.385359301565, 0.414501621715, Loebsack, Democrat, rank-and-file Democrat, 11, 354, 84, 115
412297, 0.385312423639, 0.585264769661, Maffei, Democrat, rank-and-file Democrat, 8, 183, 138, 160
400274, 0.383515014031, 0.60943107687, Michaud, Democrat, rank-and-file Democrat, 20, 407, 125, 186
400283, 0.195984614405, 0.671771331831, Moran, Democrat, far-left Democratic leader, 15, 448, 197, 309
400308, 0.334041920046, 0.613016613011, Pallone, Democrat, rank-and-file Democrat, 15, 140, 110, 157
412331, 0.340346282574, 0.439721248383, Quigley, Democrat, rank-and-file Democrat, 10, 206, 60, 86
400343, 0.675335294656, 0.516898148967, Rohrabacher, Republican, rank-and-file Republican, 10, 101, 113, 139
400344, 0.549088746731, 1.0, Ros-Lehtinen, Republican, centrist Republican leader, 20, 175, 398, 873
412202, 0.717024248418, 0.777605345858, Roskam, Republican, moderate Republican leader, 18, 180, 254, 472
400348, 0.677194448912, 0.853467557163, Royce, Republican, moderate Republican leader, 27, 98, 418, 1140
400350, 0.247198742071, 0.511845750294, Rush, Democrat, far-left Democrat, 13, 333, 39, 47
412314, 0.763383369775, 0.803875869972, Schock, Republican, moderate Republican leader, 12, 230, 345, 639
400363, 0.4398841437, 0.108431369985, Scott [GA13], Democrat, moderate Democratic follower, 0, 148, 0, 0
400373, 0.730751081825, 0.553439126243, Shimkus, Republican, rank-and-file Republican, 5, 117, 147, 173
409888, 0.738589294989, 0.705414999121, Shuster, Republican, rank-and-file Republican, 10, 104, 120, 206
412217, 0.736034722003, 0.361156125125, Smith [NE3], Republican, rank-and-file Republican, 4, 76, 60, 72
412259, 0.279009404548, 0.654702867303, Speier, Democrat, moderate Democratic leader, 18, 258, 184, 441
412318, 0.34334493769, 0.51292974744, Titus, Democrat, rank-and-file Democrat, 18, 241, 142, 239
412254, 0.336118397241, 0.269702144626, Tsongas, Democrat, rank-and-file Democrat, 6, 256, 25, 28
400623, 0.307058798503, 0.784342477319, Wasserman Schultz, Democrat, moderate Democratic leader, 6, 162, 103, 144
400422, 0.243730315, 0.606806154474, Waters, Democrat, far-left Democrat, 17, 161, 131, 418
400425, 0.275947791237, 0.458204676067, Waxman, Democrat, rank-and-file Democrat, 7, 202, 74, 96
400057, 0.792374841961, 0.42782091013, Calvert, Republican, rank-and-file Republican, 12, 161, 38, 59
400114, 0.330040172355, 0.606049993489, Doyle, Democrat, rank-and-file Democrat, 5, 158, 72, 79
400660, 0.605946253512, 0.719191661736, Reichert, Republican, centrist Republican leader, 17, 109, 118, 194
400440, 0.687342246794, 0.641854026221, Young [AK0], Republican, rank-and-file Republican, 33, 237, 92, 127
400233, 0.358825259508, 0.761367818437, Larson, Democrat, moderate Democratic leader, 11, 192, 189, 271
400157, 0.722857292177, 0.678736438126, Granger, Republican, rank-and-file Republican, 4, 100, 238, 294
400006, 0.713940671294, 0.307007792456, Alexander, Republican, rank-and-file Republican, 6, 60, 6, 6
400046, 0.815482853487, 0.8091546928, Brady [TX8], Republican, moderate Republican leader, 11, 116, 244, 466
400068, 0.855440897043, 0.775451102293, Carter, Republican, far-right Republican leader, 9, 136, 236, 279
400086, 0.687896135292, 0.714446526871, Crenshaw, Republican, rank-and-file Republican, 6, 108, 348, 361
400089, 0.8361495437, 0.260702097095, Culberson, Republican, lonley far-right Republican follower, 11, 134, 21, 27
412275, 0.902877300676, 0.615606653163, Fleming, Republican, far-right Republican, 9, 148, 75, 93
400151, 0.902851521349, 0.797260176109, Gingrey, Republican, far-right Republican leader, 21, 150, 123, 222
400651, 0.917849084534, 0.668770922537, Gohmert, Republican, far-right Republican, 11, 170, 54, 83
400196, 0.713333678085, 0.594424371277, Issa, Republican, rank-and-file Republican, 32, 91, 179, 252
400220, 0.87697793093, 0.768617982898, King [IA4], Republican, far-right Republican leader, 11, 149, 145, 233
400221, 0.861199767743, 0.596398172583, Kingston, Republican, far-right Republican, 25, 184, 26, 28
400656, 0.939719798223, 0.388817415487, Marchant, Republican, far-right Republican, 4, 197, 44, 50
400441, 0.887857527393, 0.701189604682, Neugebauer, Republican, far-right Republican, 12, 152, 168, 253
412302, 0.912428511536, 0.798237497703, Olson, Republican, far-right Republican leader, 9, 226, 366, 649
412309, 0.889594366197, 0.789375457938, Posey, Republican, far-right Republican leader, 19, 214, 368, 561
400381, 0.779363186278, 0.722940942213, Smith [TX21], Republican, moderate Republican leader, 8, 133, 69, 87
400404, 0.760264682345, 0.530821021567, Thornberry, Republican, rank-and-file Republican, 9, 97, 111, 143
400433, 0.907116296045, 0.771552636005, Wilson [SC2], Republican, far-right Republican leader, 7, 229, 274, 397
400439, 0.683813771966, 0.260836840845, Young [FL13], Republican, moderate Republican follower, 6, 90, 4, 4
400048, 0.261158710421, 0.568575863057, Brown, Democrat, rank-and-file Democrat, 0, 285, 0, 0
412221, 0.145491913464, 0.421496537887, Clarke, Democrat, far-left Democrat, 5, 329, 42, 44
400080, 0.120029412904, 0.742240737053, Conyers, Democrat, far-left Democratic leader, 27, 512, 190, 590
400100, 0.347880336024, 0.580405031244, DeFazio, Democrat, rank-and-file Democrat, 19, 284, 192, 335
400111, 0.317131605482, 0.597516311766, Doggett, Democrat, rank-and-file Democrat, 10, 157, 136, 311
412263, 0.202951366572, 0.508820613385, Edwards, Democrat, far-left Democrat, 12, 229, 111, 199
412327, 0.238603326811, 0.498271126477, Fudge, Democrat, far-left Democrat, 9, 207, 87, 193
412382, 0.307194389658, 0.389653774774, Garamendi, Democrat, rank-and-file Democrat, 4, 228, 27, 30
400240, 0.171464685883, 0.752328908433, Lewis, Democrat, far-left Democratic leader, 19, 304, 210, 672
400257, 0.353470543781, 0.695539861885, McCarthy [NY4], Democrat, moderate Democratic leader, 9, 207, 120, 374
412306, 0.349251947672, 0.56033954073, Pierluisi, Democrat, rank-and-file Democrat, 12, 122, 138, 199
400333, 0.167378612397, 0.688386689757, Rangel, Democrat, far-left Democratic leader, 21, 542, 153, 350
412312, 0.313536206028, 0.433299614955, Sablan, Democrat, rank-and-file Democrat, 17, 112, 52, 110
412216, 0.888779819894, 0.736276948322, Bachmann, Republican, far-right Republican leader, 10, 209, 242, 349
412252, 0.933572120534, 0.734244261512, Broun, Republican, far-right Republican leader, 12, 203, 215, 305
412011, 0.730710414337, 0.416195674909, Campbell, Republican, rank-and-file Republican, 3, 72, 2, 2
400077, 0.817104896079, 0.480410640062, Cole, Republican, rank-and-file Republican, 14, 233, 19, 24
400147, 0.672419398081, 0.881952132985, Gerlach, Republican, moderate Republican leader, 13, 159, 353, 881
400175, 0.840407968811, 0.492707103518, Hensarling, Republican, far-right Republican, 0, 98, 0, 0
400206, 0.848087793704, 0.7972809163, Johnson [TX3], Republican, far-right Republican leader, 15, 120, 336, 568
400320, 0.852034362325, 0.753856512569, Pitts, Republican, far-right Republican leader, 13, 135, 217, 319
412315, 0.51438824016, 0.667458436888, Schrader, Democrat, centrist Democratic leader, 17, 155, 277, 430
400234, 0.702059921791, 0.634125563521, Latham, Republican, rank-and-file Republican, 13, 216, 155, 185
400041, 0.277050310745, 0.416952573356, Bordallo, Democrat, rank-and-file Democrat, 6, 281, 49, 73
412258, 0.25034461541, 0.417767224059, Carson, Democrat, rank-and-file Democrat, 13, 328, 72, 108
400073, 0.231457781672, 0.399089577044, Christensen, Democrat, far-left Democrat, 17, 224, 23, 36
400639, 0.303039643257, 0.432462981029, Cleaver, Democrat, rank-and-file Democrat, 2, 150, 92, 92
400090, 0.221508747404, 0.463725731875, Cummings, Democrat, far-left Democrat, 13, 221, 68, 86
400204, 0.264720813141, 0.652514477056, Johnson [TX30], Democrat, moderate Democratic leader, 11, 245, 140, 293
412199, 0.229757168604, 0.600283526324, Johnson [GA4], Democrat, far-left Democrat, 10, 300, 140, 279
400355, 0.268475732466, 0.690914952492, Sánchez, Democrat, moderate Democratic leader, 11, 183, 199, 508
400402, 0.333812388167, 0.298228350696, Thompson [MS2], Democrat, rank-and-file Democrat, 10, 178, 38, 61
400424, 0.322891808271, 0.204813196997, Watt, Democrat, moderate Democratic follower, 21, 83, 1, 1
400626, 0.821481833167, 0.842604517123, Price [GA6], Republican, moderate Republican leader, 18, 116, 265, 803
412310, 0.935968505235, 0.780618775927, Roe, Republican, far-right Republican leader, 11, 285, 276, 566
400380, 0.622724522053, 0.873086312416, Smith [NJ4], Republican, centrist Republican leader, 28, 116, 259, 507
412317, 0.7786950736, 0.606601665608, Thompson [PA5], Republican, rank-and-file Republican, 8, 182, 143, 183
400018, 0.782107863112, 0.558938275978, Barton, Republican, rank-and-file Republican, 3, 131, 38, 40
400052, 0.790628882727, 0.773182625435, Burgess, Republican, moderate Republican leader, 34, 195, 271, 530
400165, 0.815611540315, 0.64978854465, Hall, Republican, rank-and-file Republican, 8, 177, 166, 187
412256, 0.952285100777, 0.724583146873, Latta, Republican, far-right Republican leader, 20, 269, 193, 304
400400, 0.750968993617, 0.781522915745, Terry, Republican, moderate Republican leader, 17, 175, 364, 661
400116, 0.817600377918, 0.448987864379, Duncan [TN2], Republican, rank-and-file Republican, 8, 183, 49, 53
400435, 0.639604483013, 0.662058720291, Wolf, Republican, centrist Republican, 7, 159, 222, 271
400081, 0.481390847638, 0.513740810628, Cooper, Democrat, centrist Democrat, 5, 128, 100, 135
400652, 0.836997251479, 0.880359279245, Poe, Republican, far-right Republican leader, 35, 244, 296, 680
400219, 0.579967837236, 0.830689643311, King [NY2], Republican, centrist Republican leader, 24, 280, 240, 459
400076, 0.790486421872, 0.183170078572, Coble, Republican, moderate Republican follower, 5, 185, 38, 39
412282, 0.350338018866, 0.228765057334, Himes, Democrat, moderate Democratic follower, 6, 233, 11, 13
400209, 0.797838977277, 0.720906271686, Jones, Republican, moderate Republican leader, 24, 468, 86, 101
412192, 0.439581351543, 0.359479258618, Perlmutter, Democrat, rank-and-file Democrat, 7, 177, 70, 84
400417, 0.44461948012, 0.131813109111, Visclosky, Democrat, centrist Democratic follower, 2, 72, 1, 1
400640, 0.708558904527, 0.673629105289, Fortenberry, Republican, rank-and-file Republican, 8, 126, 94, 99
412284, 0.842178214512, 0.788228442187, Jenkins, Republican, far-right Republican leader, 16, 210, 283, 415
412290, 0.67020090443, 0.616530518211, Lance, Republican, rank-and-file Republican, 7, 195, 147, 205
400285, 0.669557941808, 0.659475997, Murphy [PA18], Republican, rank-and-file Republican, 9, 119, 181, 251
412293, 0.363587361236, 0.310953228355, Luján, Democrat, rank-and-file Democrat, 16, 179, 27, 42
400047, 0.293808450454, 0.27324391347, Brady [PA1], Democrat, rank-and-file Democrat, 6, 202, 4, 4
412280, 0.796823589208, 0.571669347561, Harper, Republican, rank-and-file Republican, 14, 151, 230, 309
412190, 0.632069258714, 0.450590570807, McCarthy [CA23], Republican, centrist Republican, 6, 34, 29, 37
400244, 0.598530008884, 0.387419777663, LoBiondo, Republican, centrist Republican, 9, 138, 69, 90
400659, 0.778972762267, 0.727114195789, McMorris Rodgers, Republican, moderate Republican leader, 19, 98, 254, 387
412303, 0.709100172453, 0.85932521302, Paulsen, Republican, moderate Republican leader, 20, 146, 405, 687
400316, 0.555792789954, 0.332343049175, Peterson, Democrat, centrist Democrat, 2, 201, 12, 16
400331, 0.504281613356, 0.486529030593, Rahall, Democrat, centrist Democrat, 10, 213, 88, 135
400347, 0.233191326552, 0.542957901997, Roybal-Allard, Democrat, far-left Democrat, 12, 185, 153, 223
400616, 0.353621505106, 0.544470635401, Butterfield, Democrat, rank-and-file Democrat, 4, 169, 130, 166
400310, 0.345826955926, 0.0344386785918, Pastor, Democrat, moderate Democratic follower, 5, 107, 0, 0
400365, 0.740082857136, 0.650624214305, Sensenbrenner, Republican, rank-and-file Republican, 18, 146, 234, 353
400318, 0.633078251743, 0.397595223993, Petri, Republican, centrist Republican, 14, 140, 62, 80
400351, 0.678486310495, 0.373598238508, Ryan [WI1], Republican, rank-and-file Republican, 4, 53, 7, 7
400010, 0.792724968801, 0.475018038264, Bachus, Republican, rank-and-file Republican, 5, 186, 61, 65
412250, 0.745888493209, 0.725801425648, Bilirakis, Republican, moderate Republican leader, 24, 163, 283, 462
400032, 0.934132911867, 0.793965013917, Blackburn, Republican, far-right Republican leader, 21, 274, 193, 382
412196, 0.734397672992, 0.680092623478, Buchanan, Republican, rank-and-file Republican, 10, 152, 168, 261
400108, 0.665250886948, 0.462609281868, Diaz-Balart, Republican, rank-and-file Republican, 3, 124, 67, 70
400145, 0.789391165865, 0.741207887672, Garrett, Republican, moderate Republican leader, 17, 103, 163, 273
400644, 0.794424056715, 0.288251905917, McHenry, Republican, moderate Republican follower, 1, 114, 6, 6
400297, 0.682504558755, 0.566947041598, Nunes, Republican, rank-and-file Republican, 7, 100, 140, 187
400655, 0.890063506808, 0.675784233278, Conaway, Republican, far-right Republican, 4, 186, 213, 239
400657, 0.518837759728, 0.309037972862, Cuellar, Democrat, centrist Democrat, 2, 99, 10, 11
400653, 0.259428721595, 0.621621346018, Green [TX9], Democrat, rank-and-file Democrat, 22, 165, 120, 378
400367, 0.824598504625, 0.661423877929, Sessions, Republican, rank-and-file Republican, 26, 172, 73, 73
400356, 0.355060932978, 0.480044744723, Sanchez, Democrat, rank-and-file Democrat, 4, 137, 3, 3
400628, 0.561942476645, 0.406118316826, Barrow, Democrat, centrist Democrat, 11, 118, 22, 27
400060, 0.625030109867, 0.76443116826, Cantor, Republican, centrist Republican leader, 5, 1, 0, 0
400110, 0.365530819147, 0.26646028764, Dingell, Democrat, moderate Democratic follower, 2, 147, 15, 15
400058, 0.640408554939, 0.694261908162, Camp, Republican, centrist Republican, 10, 54, 100, 157
400276, 0.735560673962, 0.543315218219, Miller [MI10], Republican, rank-and-file Republican, 17, 153, 81, 108
412305, 0.40328197342, 0.514659746636, Peters [MI14], Democrat, rank-and-file Democrat, 12, 202, 55, 74
400414, 0.652700576312, 0.563243296184, Upton, Republican, centrist Republican, 6, 66, 178, 203
400636, 0.775948455787, 0.817154162477, Boustany, Republican, moderate Republican leader, 14, 160, 301, 461
412269, 0.768446273832, 0.661340596148, Cassidy, Republican, rank-and-file Republican, 23, 150, 235, 377
400158, 0.780303506696, 0.781426563571, Graves [MO6], Republican, moderate Republican leader, 21, 150, 332, 582
412278, 0.75271285884, 0.554101681511, Guthrie, Republican, rank-and-file Republican, 8, 181, 187, 223
412226, 0.83484710974, 0.603337816048, Jordan, Republican, rank-and-file Republican, 3, 144, 138, 152
412286, 0.46388443011, 0.36159942891, Kirkpatrick, Democrat, centrist Democrat, 12, 187, 101, 156
412292, 0.841129516821, 0.762384018536, Luetkemeyer, Republican, far-right Republican leader, 13, 177, 190, 281
400255, 0.612962625932, 0.296436801134, Matheson, Democrat, centrist Democrat, 10, 164, 17, 18
412261, 0.837453914764, 0.738969768224, Scalise, Republican, far-right Republican leader, 7, 124, 175, 347
400627, 1.0, 0.188986284496, Westmoreland, Republican, lonley far-right Republican follower, 2, 356, 25, 25
412311, 0.800807740826, 0.518683005387, Rooney, Republican, rank-and-file Republican, 4, 141, 26, 29
400643, 0.779305816073, 0.537359738364, Foxx, Republican, rank-and-file Republican, 16, 63, 67, 72
400171, 0.665655095431, 0.547471283964, Hastings [WA4], Republican, rank-and-file Republican, 14, 58, 61, 78
400247, 0.72286997605, 0.256232960296, Lucas, Republican, moderate Republican follower, 5, 82, 28, 28
412294, 0.874318066643, 0.618871028821, Lummis, Republican, far-right Republican, 13, 190, 142, 183
412379, 0.21479980642, 0.545038191268, Chu, Democrat, far-left Democrat, 9, 348, 149, 265
412385, 0.375635316791, 0.545698859317, Deutch, Democrat, rank-and-file Democrat, 16, 223, 182, 325
400249, 0.320498632433, 0.583708072314, Lynch, Democrat, rank-and-file Democrat, 14, 167, 178, 222
412308, 0.260197903568, 0.654605522091, Polis, Democrat, moderate Democratic leader, 25, 322, 218, 607
400376, 0.735950639946, 0.381430092195, Simpson, Republican, rank-and-file Republican, 13, 125, 26, 32
400419, 0.708816329216, 0.523891754823, Walden, Republican, rank-and-file Republican, 10, 115, 148, 171
400038, 0.753693533612, 0.325870101013, Bonner, Republican, rank-and-file Republican, 2, 73, 29, 30
400641, 0.32616028706, 0.470981716884, Higgins, Democrat, rank-and-file Democrat, 10, 227, 103, 125
400273, 0.686608533948, 0.617671834704, Mica, Republican, rank-and-file Republican, 2, 93, 15, 15
412383, 0.524651818433, 0.34148479679, Owens, Democrat, centrist Democrat, 13, 218, 46, 62
400061, 0.726037978788, 0.78696629134, Capito, Republican, moderate Republican leader, 13, 157, 295, 471
412271, 0.854620763185, 0.457940703835, Coffman, Republican, far-right Republican, 15, 224, 59, 69
412283, 0.786584743373, 0.757826609035, Hunter, Republican, moderate Republican leader, 20, 136, 235, 421
400267, 0.716358623552, 0.624166971235, McKeon, Republican, rank-and-file Republican, 6, 62, 117, 120
400340, 0.708630858018, 0.174823126207, Rogers [KY5], Republican, moderate Republican follower, 14, 73, 17, 17
400341, 0.742726592495, 0.324526536419, Rogers [AL3], Republican, rank-and-file Republican, 3, 105, 25, 25
400342, 0.69243130356, 0.69098039543, Rogers [MI8], Republican, rank-and-file Republican, 9, 86, 141, 179
400411, 0.71626280692, 0.761882198323, Turner, Republican, moderate Republican leader, 16, 121, 235, 453
400266, 0.611517012193, 0.553397472653, McIntyre, Democrat, centrist Democrat, 12, 201, 66, 71
400416, 0.316582133956, 0.193595764618, Velázquez, Democrat, moderate Democratic follower, 14, 86, 24, 36
400407, 0.295343452136, 0.559860139732, Tierney, Democrat, rank-and-file Democrat, 11, 279, 190, 322
400004, 0.72099931872, 0.206667397257, Aderholt, Republican, moderate Republican follower, 6, 79, 3, 3
400189, 0.419695564446, 0.526611935423, Hoyer, Democrat, rank-and-file Democrat, 6, 43, 100, 121
412295, 0.863885391283, 0.572490403764, McClintock, Republican, far-right Republican, 9, 154, 116, 128
400431, 0.682923270779, 0.763440429159, Whitfield, Republican, moderate Republican leader, 19, 141, 359, 611
400277, 0.743116979469, 0.593653646582, Miller [CA31], Republican, rank-and-file Republican, 8, 69, 55, 65
400406, 0.735204991881, 0.649336712492, Tiberi, Republican, rank-and-file Republican, 5, 190, 161, 180
400142, 0.596016180877, 0.351942000191, Frelinghuysen, Republican, centrist Republican, 6, 88, 41, 47
400036, 0.60261132203, 0.630861761272, Boehner, Republican, centrist Republican, 0, 0, 0, 0
400314, 0.450893430486, 0.388581483445, Pelosi, Democrat, centrist Democrat, 2, 28, 17, 17
412388, 0.78297377587, 0.62156586514, Graves [GA14], Republican, rank-and-file Republican, 7, 127, 184, 391
412393, 0.682897929253, 0.693185207521, Reed, Republican, rank-and-file Republican, 20, 161, 200, 361
412392, 0.776084640263, 0.272753277777, Stutzman, Republican, moderate Republican follower, 4, 131, 61, 75
412416, 0.682413107803, 0.400971259082, Woodall, Republican, rank-and-file Republican, 12, 65, 83, 86
412470, 0.284878778095, 0.553182839424, Cicilline, Democrat, rank-and-file Democrat, 12, 421, 222, 467
400646, 0.650547023559, 0.605588223264, Fitzpatrick, Republican, centrist Republican, 28, 207, 230, 378
412498, 0.321308519473, 0.376419969061, Hahn, Democrat, rank-and-file Democrat, 16, 216, 74, 89
412469, 0.726717389321, 0.519300405371, Barletta, Republican, rank-and-file Republican, 12, 187, 146, 244
412404, 0.308593092913, 0.697196612941, Bass, Democrat, moderate Democratic leader, 13, 250, 266, 573
412501, 0.379982207451, 0.232419494962, Bonamici, Democrat, moderate Democratic follower, 8, 240, 56, 84
412407, 0.487255163736, 0.268596210621, Carney, Democrat, centrist Democrat, 9, 125, 33, 40
412453, 0.621855982766, 0.594117578666, Gibson, Republican, centrist Republican, 14, 205, 233, 357
412451, 0.610381244414, 0.78340833509, Grimm, Republican, centrist Republican leader, 28, 242, 325, 900
412418, 0.428169708663, 0.208752018704, Hanabusa, Democrat, moderate Democratic follower, 11, 166, 59, 97
412454, 0.644002786192, 0.649845903263, Hanna, Republican, centrist Republican, 10, 254, 148, 190
