ID, ideology, leadership, name, party, description, introduced_bills_113, cosponsored_bills_113, unique_cosponsors_113, total_cosponsors_113
412390, 0.276209676189, 0.433245795596, Coons, Democrat, rank-and-file Democrat, 24, 216, 47, 87
412391, 0.526744129893, 0.427821080756, Manchin, Democrat, centrist Democrat, 23, 125, 90, 187
400325, 0.73191095523, 0.451486098686, Portman, Republican, rank-and-file Republican, 21, 158, 67, 166
400040, 0.914563704679, 0.175593199263, Boozman, Republican, lonley far-right Republican follower, 17, 218, 31, 45
412492, 0.871476410309, 0.321746000417, Paul, Republican, rank-and-file Republican, 41, 83, 52, 139
412490, 0.11455023456, 0.623870615501, Blumenthal, Democrat, far-left Democrat, 41, 273, 79, 301
412493, 0.809762029174, 0.496907448312, Ayotte, Republican, rank-and-file Republican, 21, 178, 95, 247
400034, 0.839192623593, 0.380546359183, Blunt, Republican, rank-and-file Republican, 17, 237, 65, 157
402675, 0.895682328412, 0.214145960837, Coats, Republican, rank-and-file Republican, 8, 105, 48, 85
412494, 0.841657432859, 0.466538139076, Hoeven, Republican, rank-and-file Republican, 16, 125, 67, 172
412496, 0.891804239662, 0.240125076057, Johnson [WI], Republican, rank-and-file Republican, 3, 112, 45, 45
412495, 0.936596814016, 0.296436219219, Lee, Republican, far-right Republican, 22, 115, 41, 135
400284, 0.803251331405, 0.509701955262, Moran, Republican, rank-and-file Republican, 20, 172, 77, 201
412491, 0.807356042117, 0.449399361078, Rubio, Republican, rank-and-file Republican, 24, 214, 51, 195
400408, 0.800603395244, 0.353544477643, Toomey, Republican, rank-and-file Republican, 24, 101, 57, 108
412218, 0.696568790059, 0.309508347867, Heller, Republican, centrist Republican, 33, 167, 56, 102
412545, 0.417547412169, 0.352467342485, King, Independent, centrist Independent, 6, 143, 99, 109
412542, 0.244670084188, 0.494726510594, Warren, Democrat, rank-and-file Democrat, 12, 202, 100, 249
412507, 0.247822050905, 0.185155384017, Schatz, Democrat, moderate Democratic follower, 18, 241, 42, 67
412554, 0.482327361456, 0.142493233155, Heitkamp, Democrat, centrist Democratic follower, 4, 121, 31, 51
412471, 0.730849615229, 0.0308380372771, Scott, Republican, moderate Republican follower, 2, 100, 9, 11
412586, 0.3544791955, 0.0, Cowan, Democrat, moderate Democratic follower, 2, 56, 0, 0
412200, 0.293316249946, 0.173981908097, Hirono, Democrat, moderate Democratic follower, 18, 167, 35, 69
400253, 0.271972397792, 0.0962780458251, Markey, Democrat, moderate Democratic follower, 48, 290, 253, 645
412194, 0.314916838873, 0.0958463634563, Murphy, Democrat, moderate Democratic follower, 10, 169, 21, 33
412573, 0.692630963732, 0.219551415594, Cruz, Republican, centrist Republican, 17, 88, 43, 149
412598, 0.386161533663, 0.0124554366311, Booker, Democrat, centrist Democratic follower, 1, 30, 2, 2
400134, 0.717662672528, 0.205410936962, Flake, Republican, moderate Republican follower, 13, 97, 50, 100
412205, 0.461595823503, 0.138520141991, Donnelly, Democrat, centrist Democratic follower, 7, 67, 38, 51
412281, 0.34045186061, 0.0514348395085, Heinrich, Democrat, moderate Democratic follower, 9, 166, 12, 17
400013, 0.316916964761, 0.137012586076, Baldwin, Democrat, moderate Democratic follower, 14, 126, 31, 40
412582, 0.414972664713, 0.210581590667, Kaine, Democrat, centrist Democratic follower, 11, 91, 48, 70
412602, 0.462138730264, 0.0109106743279, Walsh, Democrat, centrist Democratic follower, 2, 19, 2, 2
412556, 0.74067916986, 0.0784873277959, Fischer, Republican, moderate Republican follower, 8, 113, 23, 33
412597, 0.491333000093, 0.00524914810168, Chiesa, Republican, centrist Republican follower , 0, 12, 0, 0
